sourceName	(edgeType)	targetName
medication_administration	medication_Medication	medication
medication_administration	partOf_MedicationAdministration	medication_administration
medication_administration	reason_Observation	observation
medication_administration	reason_Condition	condition
medication_administration	subject_Patient	patient
document_reference	author_Patient	patient
family_member_history	patient_Patient	patient
family_member_history	reason_Condition	condition
family_member_history	reason_Observation	observation
family_member_history	reason_DocumentReference	document_reference
observation	derivedFrom_DocumentReference	document_reference
observation	hasMember	observation
observation	specimen_Specimen	specimen
observation	subject_Substance	substance
observation	subject_Medication	medication
observation	focus_ResearchStudy	research_study
task	partOf_Task	task
task	for_fhir	patient
task	output_valueReference	document_reference
task	focus	specimen
condition	subject_Patient	patient
research_study	focus_Medication	medication
research_study	project	project
specimen	parent_Specimen	specimen
specimen	subject_Patient	patient
specimen	subject_Substance	substance
medication	ingredient_itemReference	substance
research_subject	study_ResearchStudy	research_study
research_subject	subject_Specimen	specimen
research_subject	subject_Patient	patient
research_subject	subject_Substance	substance
research_subject	subject_Medication	medication
